MPI-D01 ESTRES,,,Valor,,,,,,
Image type,Feature Class,Feature Name,A,B,C,Media,SD,CV,CV%
diagnostics,Versions,PyRadiomics,v3.1.0.post2+g146e3bd,v3.1.0.post2+g146e3bd,v3.1.0.post2+g146e3bd,,,,
diagnostics,Versions,Numpy,1.26.4,1.26.4,1.26.4,,,,
diagnostics,Versions,SimpleITK,2.4.0rc2.dev213,2.4.0rc2.dev213,2.4.0rc2.dev213,,,,
diagnostics,Versions,PyWavelet,1.6.0,1.6.0,1.6.0,,,,
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,,,,
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}",,,,
diagnostics,Configuration,EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},,,,
diagnostics,Image-original,Hash,257a2d30e7754d5c615d72f2f5a3c7e4858621e0,1ee98748e0e2ab92c4eba17c0b37ccd0752a36ac,a28bf0c4cc0df19c7c90711c0b9cf07924c590b8,,,,
diagnostics,Image-original,Dimensionality,3D,3D,3D,,,,
diagnostics,Image-original,Spacing,"(6.5913400650024006, 6.591340065002398, 6.5913400650024006)","(6.5913400650024006, 6.5913400650024006, 6.591340065002402)","(6.5913400650024006, 6.591340065002398, 6.591340065002398)",,,,
diagnostics,Image-original,Size,"(64, 64, 32)","(64, 64, 34)","(64, 64, 33)",,,,
diagnostics,Image-original,Mean,4.604804993,8.281422335,7.021329013,,,,
diagnostics,Image-original,Minimum,0,0,0,,,,
diagnostics,Image-original,Maximum,447,801,730,,,,
diagnostics,Mask-original,Hash,625c006b5b7b87f6a7a9800620794fed13edc56a,444f21f36f7d5ee85516bd703790bb029a0bd1c7,710a0c704c309fe848149b66a582ec09d1755526,,,,
diagnostics,Mask-original,Spacing,"(6.5913400650024006, 6.591340065002398, 6.5913400650024006)","(6.5913400650024006, 6.5913400650024006, 6.591340065002402)","(6.5913400650024006, 6.591340065002398, 6.591340065002398)",,,,
diagnostics,Mask-original,Size,"(64, 64, 32)","(64, 64, 34)","(64, 64, 33)",,,,
diagnostics,Mask-original,BoundingBox,"(24, 25, 12, 17, 18, 18)","(27, 26, 13, 11, 11, 12)","(26, 25, 10, 13, 14, 15)",,,,
diagnostics,Mask-original,VoxelNum,1976,698,1203,,,,
diagnostics,Mask-original,VolumeNum,1,1,1,,,,
diagnostics,Mask-original,CenterOfMassIndex,"(32.925607287449395, 33.821862348178136, 20.375506072874494)","(32.03724928366762, 31.25358166189112, 18.889684813753583)","(31.94679966749792, 31.29260182876143, 16.877805486284288)",,,,
diagnostics,Mask-original,CenterOfMass,"(57.584960949254636, -156.29219247205597, 1353.1032264846142)","(33.45115393652316, -177.93983590804464, 1506.0670249552466)","(36.03766881192304, -177.14687850077377, 1507.2302907352462)",,,,
original,shape,Elongation,0.9105200048,0.8759961751,0.9555376108,0.9140179303,0.03988591994,0.04363800602,4.363800602
original,shape,Flatness,0.7765521557,0.8308362884,0.9195219879,0.8423034774,0.07217143167,0.085683407,8.5683407
original,shape,LeastAxisLength,87.01891525,62.13356428,76.38589136,75.17945696,12.48646411,0.1660887777,16.60887777
original,shape,MajorAxisLength,112.0580435,74.78436504,83.07130483,89.97123779,19.57137151,0.2175292014,21.75292014
original,shape,Maximum2DDiameterColumn,121.5383055,85.94056001,103.1707911,103.5498856,17.80190034,0.1719161759,17.19161759
original,shape,Maximum2DDiameterRow,129.834342,88.43210669,97.98731454,105.4179211,21.67825428,0.2056410718,20.56410718
original,shape,Maximum2DDiameterSlice,118.8270729,80.45755909,97.98731454,99.09064884,19.20853736,0.1938481338,19.38481338
original,shape,Maximum3DDiameter,133.4644641,91.56982267,112.2464766,112.4269211,20.94790361,0.1863246222,18.63246222
original,shape,MeshVolume,558580.3644,195349.2059,338174.1506,364034.5736,182991.2286,0.50267541,50.267541
original,shape,MinorAxisLength,102.0310903,65.51081774,79.37775615,82.30655473,18.43545424,0.2239852501,22.39852501
original,shape,Sphericity,0.6324804171,0.7339623148,0.7669398614,0.7111275311,0.07007785709,0.09854471107,9.854471107
original,shape,SurfaceArea,51859.3996,22182.8902,30606.69383,34882.99454,15293.4255,0.4384206602,43.84206602
original,shape,SurfaceVolumeRatio,0.09284142964,0.1135550569,0.09050571657,0.09896740105,0.01268714574,0.1281951997,12.81951997
original,shape,VoxelVolume,565858.8286,199883.3311,344498.0621,370080.074,184324.0236,0.4980652474,49.80652474
original,firstorder,10Percentile,3.284992927,6.317590723,4.214705152,4.605762934,1.553659226,0.3373293954,33.73293954
original,firstorder,90Percentile,11.1671949,15.38886866,13.77074522,13.44226959,2.129918894,0.1584493511,15.84493511
original,firstorder,Energy,107952.9971,86163.53563,98103.13361,97406.55546,10911.41944,0.1120193542,11.20193542
original,firstorder,Entropy,0.06436246421,-3.20E-16,-3.20E-16,2.15E-02,0.03715968604,1.73E+00,1.73E+02
original,firstorder,InterquartileRange,4.262636034,5.418780208,5.157153214,4.946189819,0.6062561368,0.1225703337,12.25703337
original,firstorder,Kurtosis,2.988141507,2.010612759,2.434074867,2.477609711,0.4902163554,0.1978585865,19.78585865
original,firstorder,Maximum,16.25663534,17.28598688,17.02516793,16.85593005,0.5351375915,0.03174773447,3.174773447
original,firstorder,MeanAbsoluteDeviation,2.479704883,2.80899878,2.896202575,2.728302079,0.2196623546,0.08051247561,8.051247561
original,firstorder,Mean,6.717663138,10.6062413,8.32213299,8.548679144,1.954162841,0.2285923718,22.85923718
original,firstorder,Median,6.169621622,10.32988673,7.699904584,8.06647098,2.104217108,0.2608596886,26.08596886
original,firstorder,Minimum,-0.1692121353,4.093383152,1.95403525,1.959402089,2.131302712,1.087731162,108.7731162
original,firstorder,Range,16.42584748,13.19260373,15.07113268,14.89652796,1.623678353,0.1089971003,10.89971003
original,firstorder,RobustMeanAbsoluteDeviation,1.745963525,2.182891079,2.122722576,2.017192393,0.2368098106,0.1173957484,11.73957484
original,firstorder,RootMeanSquared,7.391351945,11.11051127,9.03043407,9.17743243,1.863932112,0.203099519,20.3099519
original,firstorder,Skewness,0.5800776351,0.1287914089,0.5008871856,0.4032520765,0.2409652991,0.5975550113,59.75550113
original,firstorder,TotalEnergy,30914046.81,24674290.15,28093382.73,27893906.56,3124657.399,0.1120193542,11.20193542
original,firstorder,Uniformity,0.9849330632,1,1,0.9949776877,0.008698900044,0.008742809161,0.8742809161
original,firstorder,Variance,9.505085543,10.95110616,12.29084199,10.9156779,1.393216105,0.1276344097,12.76344097
original,glcm,Autocorrelation,3.984761711,1,1,1.99492057,1.723252977,0.8638203459,86.38203459
original,glcm,ClusterProminence,0.01526501202,0,0,0.005088337338,0.008813258796,1.732050808,173.2050808
original,glcm,ClusterShade,-0.01099124697,0,0,-0.00366374899,0.006345799396,-1.732050808,-173.2050808
original,glcm,ClusterTendency,0.008936885927,0,0,0.002978961976,0.005159713496,1.732050808,173.2050808
original,glcm,Contrast,0.006789741693,0,0,0.002263247231,0.003920059194,1.732050808,173.2050808
original,glcm,Correlation,0.1300841857,1,1,0.7100280619,0.5022461295,0.7073609572,70.73609572
original,glcm,DifferenceAverage,0.006789741693,0,0,0.002263247231,0.003920059194,1.732050808,173.2050808
original,glcm,DifferenceEntropy,0.0583124344,-3.20E-16,-3.20E-16,1.94E-02,0.0336666997,1.73E+00,1.73E+02
original,glcm,DifferenceVariance,0.006740566741,0,0,0.00224685558,0.003891668022,1.732050808,173.2050808
original,glcm,Id,0.9966051292,1,1,0.9988683764,0.001960029597,0.001962250126,0.1962250126
original,glcm,Idm,0.9966051292,1,1,0.9988683764,0.001960029597,0.001962250126,0.1962250126
original,glcm,Idmn,0.9986420517,1,1,0.9995473506,0.0007840118388,0.0007843668821,0.07843668821
original,glcm,Idn,0.9977367528,1,1,0.9992455843,0.001306686398,0.001307672927,0.1307672927
original,glcm,Imc1,-0.08103720751,0,0,-0.0270124025,0.04678685357,-1.732050808,-173.2050808
